ciclo_form,ano_t1,ano_t2,Ativo_A,Ativo_B,Setor_A,z_media,z_std,z_skew,z_kurt,pval_form
2010-2011,2012,2013,CPFE3,ENBR3,Utilidade pública,-0.0017988699842300298,0.7035311030995747,1.0336646921953732,4.507119298779622,2.2639787916065028e-07
2010-2011,2012,2013,CTAX4,LOGN3,Bens industriais,0.0007379508363038484,0.6936283187778507,0.03318177171312689,2.137013137645881,0.0004278795162879252
2010-2011,2012,2013,LREN3,RENT3,Consumo cíclico,-0.05520510941096644,0.7824688768538657,-0.5550671495116876,3.393582134179855,0.0010223230829223798
2010-2011,2012,2013,BRPR3,GSHP3,Financeiro,0.08868593389646302,1.0248664124264943,0.25971872825591513,1.5493977086941397,0.0022741962063091083
2010-2011,2012,2013,CESP6,ENBR3,Utilidade pública,-0.059321439206851095,1.0093380800583078,-2.8376970058102495,16.182189697533097,0.002537833318648875
2010-2011,2012,2013,B3SA3,SANB11,Financeiro,0.09340326561884596,0.7003417808243604,0.07159624549368085,0.3164424678138107,0.003429344779118926
2010-2011,2012,2013,BAZA3,SANB4,Financeiro,-0.0765826486798635,0.6711025381824447,0.370866480080145,2.248868544638075,0.0036383298414624553
2010-2011,2012,2013,GRND3,KROT11,Consumo cíclico,0.2302236156917925,0.61354748177145,-0.1402790658435762,2.6078367749670406,0.005674612472290061
2010-2011,2012,2013,IGTA3,SULA11,Financeiro,0.08811662315437414,0.6178827712197812,0.3275990688498089,0.7652363252803678,0.0057232285065285425
2010-2011,2012,2013,CESP6,EGIE3,Utilidade pública,-0.1737287715416772,0.9246210199650305,-2.0955853488490552,11.453452466490004,0.011864621811296746
2010-2011,2012,2013,BRAP4,VALE5,Materiais básicos,-0.025683337396425088,0.3880454865636963,-0.051376919403380364,0.6536192278878157,0.013078640843951307
2010-2011,2012,2013,SANB11,SANB4,Financeiro,0.016158843595352537,1.1723547618722665,0.058937095389315304,0.1160147207402713,0.014235864619384406
2010-2011,2012,2013,B3SA3,ITUB4,Financeiro,0.09723202093455413,0.7645892635026681,0.40325085261980925,0.8991295572017726,0.01980738809828212
2010-2011,2012,2013,ITSA4,ITUB4,Financeiro,-0.002068866871676737,0.29875807051881137,0.5017960898369046,3.2608677619686715,0.026536969687146136
2010-2011,2012,2013,ABEV3,AMBV4,Consumo não cíclico,0.03831748597834503,0.4568101549026856,4.294842959810201,43.1156790361143,0.028095902177790084
2010-2011,2012,2013,DAYC4,PINE4,Financeiro,-0.0649407074293631,0.8511939284981386,-0.21154187581406886,1.3321543781006655,0.035402724440802
2010-2011,2012,2013,B3SA3,ITSA4,Financeiro,0.12033030201642715,0.7985214353423611,0.2554531170796109,-0.04385948871426448,0.03757987299032994
2010-2011,2012,2013,CESP6,CMIG4,Utilidade pública,-0.11888087664944309,0.930659190417289,-1.0931245144497048,4.2297572627908675,0.03967182255167641
2010-2011,2012,2013,TIMS3,VIVT4,Comunicações,0.04250458787386832,0.5381988972382632,-0.2281607551585354,0.8187880202367723,0.039990324978175194
2010-2011,2012,2013,BBAS3,BBDC4,Financeiro,-0.027307085468764387,1.060031763381337,-0.9876839794106425,4.535617348501711,0.04063641570593489
2012-2013,2014,2015,NEXP3,PINE4,Financeiro,-0.30644178368942276,0.9506004469781624,0.4971106038051354,1.3415294510433542,0.00013635760560379344
2012-2013,2014,2015,OIBR3,OIBR4,Comunicações,-0.04462776196478543,0.7914794910192732,1.8709273980022019,11.967158719951,0.001926946837308091
2012-2013,2014,2015,DIRR3,EVEN3,Consumo cíclico,-0.37333501855652534,1.7491238906036197,-0.09584412100512557,0.09865813094485176,0.004105775886078379
2012-2013,2014,2015,GGBR4,GOAU4,Materiais básicos,0.3703567724485116,1.4138223356621062,2.55981851488036,13.640950024911877,0.004557028671212945
2012-2013,2014,2015,AZZA3,HBOR3,Consumo cíclico,0.15248883924685813,0.7987962699604635,0.13078486732073413,0.575334089943119,0.008678618336949809
2012-2013,2014,2015,BRSR6,GSHP3,Financeiro,-0.10711208028939029,1.194545507964853,-0.4410715379119464,0.5953185556295364,0.011666258067738678
2012-2013,2014,2015,BBAS3,ITUB4,Financeiro,-0.1401604257714069,0.6349831777244381,-0.15590114477774716,-0.3801409696479343,0.01198651356067483
2012-2013,2014,2015,LAME3,LREN3,Consumo cíclico,-0.07258637267158818,0.5149862316147827,-0.2272845732297378,0.7924538233737426,0.01620941294280765
2012-2013,2014,2015,ARTR3,POMO4,Bens industriais,-0.23625350753593652,1.554275158286489,-0.9203721593985689,3.42595797965149,0.018155657412273107
2012-2013,2014,2015,RDNI3,SLED4,Consumo cíclico,-0.213741400469729,0.8573395576078924,-0.10618795916571319,3.0526906529956426,0.021367029924989508
2012-2013,2014,2015,CTIP3,ITSA4,Financeiro,0.25846211522342455,0.4383643801228097,-0.41986827148254025,0.5760952183965662,0.03459158445762772
2012-2013,2014,2015,DAYC4,PINE4,Financeiro,0.13223263160386844,0.8716508749548882,0.6475168054675384,4.380191533019015,0.03549902061160198
2012-2013,2014,2015,LAME4,RENT3,Consumo cíclico,0.19542759030000947,0.6548302974503029,0.17020772141358853,0.7482171579867356,0.03595342990134504
2012-2013,2014,2015,DAYC4,NEXP3,Financeiro,0.008038132183809485,0.4543416549148028,0.7707073969604212,14.347440167108132,0.04126437272354465
2012-2013,2014,2015,CYRE3,MYPK3,Consumo cíclico,-0.14061316953415023,0.8017747010491731,0.28178674046240354,1.00335154489773,0.04577516437361458
2012-2013,2014,2015,ALSC3,IGTA3,Financeiro,-0.0921659693211446,0.6432774439656331,-0.10521601616214146,0.11056721876484854,0.04917465547491153
2014-2015,2016,2017,CPLE3,CPLE6,Utilidade pública,0.13995398171622517,1.2578467263189914,0.2534689923374467,1.0911024146025943,1.2837705354393236e-06
2014-2015,2016,2017,BRAP3,BRAP4,Materiais básicos,0.012582168062102191,0.8685193269590882,-0.003464657879610608,1.6041841026690484,3.2460699391300056e-06
2014-2015,2016,2017,CPLE3,TAEE11,Utilidade pública,-0.055909453496875004,0.856962521674729,-1.0693469809819771,3.3675659795994717,0.006259412611309319
